student,course,activity,room,day,time
Yanick Abbing,Data Mining,w1,C0.110,Tue,11
Yanick Abbing,Lineaire Algebra,h2,C0.110,Fri,11
Yanick Abbing,Lineaire Algebra,h1,C0.110,Fri,9
Yanick Abbing,Data Mining,h1,A1.04,Mon,11
Yanick Abbing,Software engineering,w1,A1.04,Mon,15
Yanick Abbing,Data Mining,p1,B0.201,Thu,11
Yanick Abbing,Software engineering,p1,A1.10,Fri,13
Yanick Abbing,Software engineering,h1,C0.110,Fri,15
Yanick Abbing,Analysemethoden en -technieken,h1,B0.201,Wed,11
Yanick Abbing,Data Mining,h2,B0.201,Thu,9
Roelof Adam,Webprogrammeren en databases,h2,C1.112,Thu,11
Roelof Adam,Webprogrammeren en databases,p1,C1.112,Fri,15
Roelof Adam,Webprogrammeren en databases,w1,A1.06,Thu,9
Roelof Adam,Webprogrammeren en databases,h1,A1.04,Wed,15
Willibrordus Agema,Calculus 2,h1,C0.110,Wed,15
Willibrordus Agema,Calculus 2,w1,C1.112,Mon,11
Servaas Anker,Software engineering,w1,A1.04,Mon,15
Servaas Anker,Software engineering,p1,A1.10,Fri,13
Servaas Anker,Architectuur en computerorganisatie,h1,C0.110,Wed,13
Servaas Anker,Software engineering,h1,C0.110,Fri,15
Servaas Anker,Architectuur en computerorganisatie,h2,A1.10,Wed,11
Wissal Ankone,Project Genetic Algorithms,p1,C0.110,Thu,17
Wissal Ankone,Compilerbouw practicum,p1,A1.08,Tue,9
Herman Apeldoorn,Advanced Heuristics,h1,B0.201,Mon,15
Herman Apeldoorn,Advanced Heuristics,p1,A1.10,Tue,9
Herman Apeldoorn,Heuristieken 2,h1,A1.04,Fri,11
Herman Apeldoorn,Heuristieken 2,w1,A1.04,Mon,13
Evi Appel,Collectieve Intelligentie,h2,A1.10,Tue,13
Evi Appel,Collectieve Intelligentie,w1,A1.04,Tue,11
Evi Appel,Collectieve Intelligentie,p1,A1.08,Mon,9
Evi Appel,Collectieve Intelligentie,h3,C0.110,Mon,11
Evi Appel,Collectieve Intelligentie,h1,C0.110,Wed,11
Wilmer Appelhof,Programmeren in Java 2,p1,A1.08,Fri,15
Benjamin Arendse,Webprogrammeren en databases,h2,C1.112,Thu,11
Benjamin Arendse,Webprogrammeren en databases,p1,C1.112,Fri,15
Benjamin Arendse,Webprogrammeren en databases,w1,C0.110,Fri,17
Benjamin Arendse,Webprogrammeren en databases,h1,A1.04,Wed,15
Diny Aslan,Calculus 2,h1,C0.110,Wed,15
Diny Aslan,Calculus 2,w1,C1.112,Mon,11
Chesney Autar,Moderne Databases,h1,A1.10,Wed,13
Chesney Autar,Moderne Databases,w1,A1.06,Wed,15
Chesney Autar,Moderne Databases,p1,B0.201,Fri,9
Martin Avci,Project Numerical Recipes,p1,C1.112,Tue,9
Martin Avci,Compilerbouw,h2,A1.10,Mon,15
Martin Avci,Compilerbouw,h1,C0.110,Mon,13
Martin Avci,Compilerbouw,p1,A1.10,Thu,9
Martin Avci,Compilerbouw,w1,A1.10,Thu,11
Gidon Baetsen,Informatie- en organisatieontwerp,w1,A1.08,Mon,15
Gidon Baetsen,Informatie- en organisatieontwerp,p1,A1.10,Fri,9
Gidon Baetsen,Moderne Databases,h1,A1.10,Wed,13
Gidon Baetsen,Informatie- en organisatieontwerp,h1,A1.04,Fri,13
Gidon Baetsen,Informatie- en organisatieontwerp,h2,A1.10,Fri,11
Gidon Baetsen,Moderne Databases,p1,C1.112,Wed,11
Gidon Baetsen,Moderne Databases,w1,A1.06,Wed,15
Rhona Bakkum,Collectieve Intelligentie,h2,A1.10,Tue,13
Rhona Bakkum,Moderne Databases,h1,A1.10,Wed,13
Rhona Bakkum,Collectieve Intelligentie,w1,A1.06,Fri,11
Rhona Bakkum,Moderne Databases,w1,A1.06,Mon,11
