student,course,activity,room,day,time
Yanick Abbing,Data Mining,w1,A1.06,Mon,9
Yanick Abbing,Lineaire Algebra,h1,A1.10,Fri,11
Yanick Abbing,Software engineering,h1,C0.110,Wed,13
Yanick Abbing,Analysemethoden en -technieken,h1,A1.10,Thu,13
Yanick Abbing,Data Mining,h1,A1.08,Wed,11
Yanick Abbing,Lineaire Algebra,h2,C1.112,Wed,9
Yanick Abbing,Data Mining,p1,A1.10,Wed,9
Yanick Abbing,Software engineering,p1,C1.112,Thu,11
Yanick Abbing,Software engineering,w1,B0.201,Tue,9
Yanick Abbing,Data Mining,h2,C1.112,Fri,11
Roelof Adam,Webprogrammeren en databases,w1,C1.112,Thu,15
Roelof Adam,Webprogrammeren en databases,h1,C0.110,Mon,15
Roelof Adam,Webprogrammeren en databases,h2,C1.112,Mon,13
Roelof Adam,Webprogrammeren en databases,p1,A1.04,Tue,13
Willibrordus Agema,Calculus 2,h1,C1.112,Mon,9
Willibrordus Agema,Calculus 2,w1,B0.201,Mon,11
Servaas Anker,Software engineering,h1,C0.110,Wed,13
Servaas Anker,Architectuur en computerorganisatie,h2,A1.04,Wed,13
Servaas Anker,Software engineering,p1,A1.08,Fri,15
Servaas Anker,Software engineering,w1,A1.08,Wed,15
Servaas Anker,Architectuur en computerorganisatie,h1,C0.110,Fri,15
Wissal Ankone,Project Genetic Algorithms,p1,A1.06,Wed,11
Wissal Ankone,Compilerbouw (practicum),p1,C1.112,Tue,13
Herman Apeldoorn,Heuristieken 2,h1,A1.08,Mon,11
Herman Apeldoorn,Heuristieken 2,w1,A1.06,Fri,13
Herman Apeldoorn,Advanced Heuristics,p1,A1.04,Wed,15
Herman Apeldoorn,Advanced Heuristics,h1,B0.201,Thu,11
Evi Appel,Collectieve Intelligentie,h1,A1.08,Tue,11
Evi Appel,Collectieve Intelligentie,h2,A1.10,Tue,15
Evi Appel,Collectieve Intelligentie,w1,C1.112,Mon,11
Evi Appel,Collectieve Intelligentie,h3,C0.110,Fri,13
Evi Appel,Collectieve Intelligentie,p1,B0.201,Mon,15
Wilmer Appelhof,Programmeren in Java 2,p1,B0.201,Tue,11
Benjamin Arendse,Webprogrammeren en databases,w1,C1.112,Thu,15
Benjamin Arendse,Webprogrammeren en databases,h1,C0.110,Mon,15
Benjamin Arendse,Webprogrammeren en databases,p1,C0.110,Mon,9
Benjamin Arendse,Webprogrammeren en databases,h2,C1.112,Mon,13
Diny Aslan,Calculus 2,h1,C1.112,Mon,9
Diny Aslan,Calculus 2,w1,C1.112,Wed,11
Chesney Autar,Moderne Databases,h1,A1.08,Thu,15
Chesney Autar,Moderne Databases,w1,C0.110,Thu,11
Chesney Autar,Moderne Databases,p1,C0.110,Tue,11
Martin Avci,Compilerbouw,h2,A1.04,Mon,15
Martin Avci,Compilerbouw,h1,B0.201,Mon,13
Martin Avci,Compilerbouw,w1,A1.04,Wed,11
Martin Avci,Project Numerical Recipes,p1,B0.201,Wed,15
Martin Avci,Compilerbouw,p1,A1.04,Fri,11
Gidon Baetsen,Informatie- en organisatieontwerp,p1,A1.06,Wed,15
Gidon Baetsen,Informatie- en organisatieontwerp,w1,A1.06,Fri,9
Gidon Baetsen,Moderne Databases,p1,A1.08,Thu,13
Gidon Baetsen,Informatie- en organisatieontwerp,h1,B0.201,Thu,9
Gidon Baetsen,Informatie- en organisatieontwerp,h2,A1.08,Wed,9
Gidon Baetsen,Moderne Databases,h1,A1.08,Thu,15
Gidon Baetsen,Moderne Databases,w1,A1.04,Thu,11
Rhona Bakkum,Collectieve Intelligentie,h1,A1.08,Tue,11
Rhona Bakkum,Collectieve Intelligentie,h2,A1.10,Tue,15
Rhona Bakkum,Collectieve Intelligentie,p1,A1.10,Mon,9
Rhona Bakkum,Collectieve Intelligentie,w1,C0.110,Tue,9
Rhona Bakkum,Moderne Databases,p1,C0.110,Mon,13
Rhona Bakkum,Collectieve Intelligentie,h3,C0.110,Fri,13
Rhona Bakkum,Moderne Databases,h1,A1.08,Thu,15
Rhona Bakkum,Moderne Databases,w1,A1.04,Thu,11
Wafa Bart,Kansrekenen 2,h2,C0.110,Thu,17
