student,course,activity,room,day,time
Yanick Abbing,Data Mining,h2,C0.110,Thu,17
Yanick Abbing,Data Mining,h1,C1.112,Mon,13
Yanick Abbing,Software engineering,p1,A1.04,Wed,13
Yanick Abbing,Data Mining,p1,B0.201,Thu,11
Yanick Abbing,Lineaire Algebra,h1,C1.112,Tue,11
Yanick Abbing,Lineaire Algebra,h2,A1.10,Fri,15
Yanick Abbing,Software engineering,w1,C1.112,Wed,11
Yanick Abbing,Analysemethoden en -technieken,h1,A1.10,Tue,15
Yanick Abbing,Software engineering,h1,B0.201,Mon,13
Yanick Abbing,Data Mining,w1,C0.110,Thu,15
Roelof Adam,Webprogrammeren en databases,h2,C1.112,Wed,9
Roelof Adam,Webprogrammeren en databases,w1,B0.201,Fri,9
Roelof Adam,Webprogrammeren en databases,h1,C1.112,Tue,9
Roelof Adam,Webprogrammeren en databases,p1,A1.10,Mon,9
Willibrordus Agema,Calculus 2,h1,A1.10,Tue,9
Willibrordus Agema,Calculus 2,w1,C1.112,Fri,13
Servaas Anker,Software engineering,w1,C0.110,Fri,11
Servaas Anker,Architectuur en computerorganisatie,h2,A1.06,Thu,9
Servaas Anker,Architectuur en computerorganisatie,h1,A1.08,Wed,13
Servaas Anker,Software engineering,h1,B0.201,Mon,13
Servaas Anker,Software engineering,p1,A1.04,Wed,13
Wissal Ankone,Project Genetic Algorithms,p1,C0.110,Tue,15
Wissal Ankone,Compilerbouw (practicum),p1,A1.04,Fri,13
Herman Apeldoorn,Heuristieken 2,h1,A1.04,Tue,15
Herman Apeldoorn,Advanced Heuristics,h1,C0.110,Wed,11
Herman Apeldoorn,Heuristieken 2,w1,A1.04,Wed,9
Herman Apeldoorn,Advanced Heuristics,p1,A1.06,Wed,11
Evi Appel,Collectieve Intelligentie,h2,A1.06,Fri,11
Evi Appel,Collectieve Intelligentie,h3,A1.04,Fri,9
Evi Appel,Collectieve Intelligentie,h1,A1.06,Thu,13
Evi Appel,Collectieve Intelligentie,p1,A1.04,Tue,9
Evi Appel,Collectieve Intelligentie,w1,A1.04,Tue,11
Wilmer Appelhof,Programmeren in Java 2,p1,A1.10,Tue,11
Benjamin Arendse,Webprogrammeren en databases,h2,C1.112,Wed,9
Benjamin Arendse,Webprogrammeren en databases,h1,C1.112,Tue,9
Benjamin Arendse,Webprogrammeren en databases,w1,C0.110,Fri,17
Benjamin Arendse,Webprogrammeren en databases,p1,A1.08,Tue,11
Diny Aslan,Calculus 2,h1,A1.10,Tue,9
Diny Aslan,Calculus 2,w1,C1.112,Fri,13
Chesney Autar,Moderne Databases,p1,C0.110,Thu,11
Chesney Autar,Moderne Databases,h1,C0.110,Thu,9
Chesney Autar,Moderne Databases,w1,A1.04,Wed,15
Martin Avci,Project Numerical Recipes,p1,B0.201,Mon,11
Martin Avci,Compilerbouw,w1,C1.112,Mon,11
Martin Avci,Compilerbouw,h2,A1.06,Mon,9
Martin Avci,Compilerbouw,p1,A1.10,Mon,15
Martin Avci,Compilerbouw,h1,B0.201,Wed,13
Gidon Baetsen,Moderne Databases,p1,A1.06,Tue,13
Gidon Baetsen,Informatie- en organisatieontwerp,h1,A1.06,Tue,11
Gidon Baetsen,Informatie- en organisatieontwerp,p1,A1.08,Tue,9
Gidon Baetsen,Informatie- en organisatieontwerp,h2,C0.110,Tue,13
Gidon Baetsen,Moderne Databases,h1,C0.110,Thu,9
Gidon Baetsen,Moderne Databases,w1,A1.04,Wed,15
Gidon Baetsen,Informatie- en organisatieontwerp,w1,A1.06,Fri,13
Rhona Bakkum,Collectieve Intelligentie,h2,A1.06,Fri,11
Rhona Bakkum,Collectieve Intelligentie,h3,A1.04,Fri,9
Rhona Bakkum,Collectieve Intelligentie,h1,A1.06,Thu,13
Rhona Bakkum,Collectieve Intelligentie,w1,C1.112,Thu,11
Rhona Bakkum,Moderne Databases,h1,C0.110,Thu,9
Rhona Bakkum,Moderne Databases,p1,A1.04,Thu,13
Rhona Bakkum,Collectieve Intelligentie,p1,A1.06,Wed,15
Rhona Bakkum,Moderne Databases,w1,C0.110,Fri,9
Wafa Bart,Collectieve Intelligentie,h2,A1.06,Fri,11
Wafa Bart,Collectieve Intelligentie,h3,A1.04,Fri,9
Wafa Bart,Databases 2,w1,A1.06,Thu,15
Wafa Bart,Collectieve Intelligentie,h1,A1.06,Thu,13
Wafa Bart,Collectieve Intelligentie,w1,A1.04,Tue,11
Wafa Bart,Kansrekenen 2,h1,C0.110,Mon,11
Wafa Bart,Analysemethoden en -technieken,h1,A1.10,Tue,15
Wafa Bart,Kansrekenen 2,h2,A1.04,Fri,15
Wafa Bart,Collectieve Intelligentie,p1,C0.110,Mon,9
Wafa Bart,Databases 2,h1,A1.10,Wed,13
Sharan Baselmans,Collectieve Intelligentie,h2,A1.06,Fri,11
Sharan Baselmans,Collectieve Intelligentie,h3,A1.04,Fri,9
Sharan Baselmans,Collectieve Intelligentie,h1,A1.06,Thu,13
Sharan Baselmans,Lineaire Algebra,h1,C1.112,Tue,11
Sharan Baselmans,Compilerbouw,h2,A1.06,Mon,9
Sharan Baselmans,Collectieve Intelligentie,p1,A1.06,Wed,15
Sharan Baselmans,Compilerbouw,w1,A1.08,Thu,11
Sharan Baselmans,Compilerbouw,p1,A1.10,Mon,15
Sharan Baselmans,Lineaire Algebra,h2,A1.10,Fri,15
Sharan Baselmans,Collectieve Intelligentie,w1,A1.04,Tue,11
Sharan Baselmans,Compilerbouw,h1,B0.201,Wed,13
Sharan Baselmans,Project Numerical Recipes,p1,C0.110,Mon,13
Edin Bastings,Databases 2,w1,A1.04,Mon,11
Edin Bastings,Collectieve Intelligentie,h2,A1.06,Fri,11
Edin Bastings,Algoritmen en complexiteit,p1,A1.06,Mon,15
Edin Bastings,Collectieve Intelligentie,h3,A1.04,Fri,9
Edin Bastings,Collectieve Intelligentie,h1,A1.06,Thu,13
Edin Bastings,Collectieve Intelligentie,p1,A1.04,Tue,9
Edin Bastings,Algoritmen en complexiteit,h1,C0.110,Mon,17
Edin Bastings,Collectieve Intelligentie,w1,A1.04,Tue,11
Edin Bastings,Netwerken en systeembeveiliging,p1,A1.08,Mon,9
Edin Bastings,Architectuur en computerorganisatie,h2,A1.06,Thu,9
Edin Bastings,Architectuur en computerorganisatie,h1,A1.08,Wed,13
Edin Bastings,Algoritmen en complexiteit,w1,B0.201,Thu,13
Edin Bastings,Databases 2,h1,A1.10,Wed,13
Mattijs Baudoin,Interactie-ontwerp,h2,B0.201,Thu,9
Mattijs Baudoin,Netwerken en systeembeveiliging,p1,A1.08,Mon,9
Mattijs Baudoin,Algoritmen en complexiteit,h1,C0.110,Mon,17
Mattijs Baudoin,Lineaire Algebra,h1,C1.112,Tue,11
Mattijs Baudoin,Compilerbouw,h2,A1.06,Mon,9
Mattijs Baudoin,Compilerbouw,w1,A1.08,Thu,11
